price,address,home_type,realty_property
"$415,000","4629 Creekside Cv, Atlanta, GA 30349","MLS ID #7177599, KELLER WILLIAMS RLTY, FIRST ATLANTA","4 bds3 ba2,214 sqft"
"$260,000","1145 McDaniel St SW, Atlanta, GA 30310","MLS ID #7177401, REAL TIME REALTY OF GEORGIA, LLC.",-- bds-- ba-- sqft
"$139,900","1401 Avon Ave SW, Atlanta, GA 30310","MLS ID #7177479, PALMERHOUSE PROPERTIES","9,749 sqft lot"
"$437,000","2493 Shallowford Rd, Atlanta, GA 30345","MLS ID #7177436, HARRY NORMAN REALTORS","3 bds2 ba2,025 sqft"
"$329,900","860 Peachtree St NE UNIT 812, Atlanta, GA 30308","MLS ID #7177503, AVENUE REALTY, INC.",1 bd1 ba808 sqft
"$368,000","4 James River Pl NE, Atlanta, GA 30342","MLS ID #7174109, EXP REALTY, LLC.","3 bds3 ba1,080 sqft"
"$565,000","638 Ira St SW, Atlanta, GA 30312","MLS ID #7176493, PALMERHOUSE PROPERTIES","4 bds6 ba2,200 sqft"
"$424,900","361 17th St NW UNIT 1123, Atlanta, GA 30363","MLS ID #7177306, ATLANTA COMMUNITIES","2 bds2 ba1,045 sqft"
"$339,900","1888 Joseph E Boone Blvd NW, Atlanta, GA 30314","MLS ID #7164139, ATLANTA COMMUNITIES","3 bds3 ba1,708 sqft"
